oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps
ZTF19abkexhe,552,2206,58675.44591439981,61030.10765049979,True,False,250,,,,,58704.47460650001,61030.10765049979,2325.633043999784,348.9666536295575,6.932012019076002,0.0043724775846363,0.0043405149328306,AGN,stamp_classifier,0.89874953,27.5.7a32.dev1,AGN,1.02118416631501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF19abkexhe,,1.0,g,20.59440994262696,0.182229071855545,0.0614642985165119,0.5,0.2494820058345794,0.2583792805671692,8.862907409667969,11.292285919189451,0.8080000281333923,3.1700000762939453,f,48.0,327.0,0.746999979019165,0.0769999995827674,1.1631348966656893e+17,19.78529930114746,19.377099990844727,19.15780067443848,19.022300720214844,8.0
ZTF20abmspzb,22,421,59048.41979169985,59462.39421299985,True,True,10,0.117417,0.523555,0.029029654,0.49746338,59048.41979169985,59462.39421299985,413.974421299994,17.894400519999998,-17.869672760000004,3.787657734207247e-05,3.937896223436317e-05,AGN,stamp_classifier,0.8881082,correction_1.0.6,AGN,1.29441979171501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abmspzb,,2.0,r,20.20258331298828,0.1758469343185424,0.9681249856948853,1.0,0.5,0.0969798415899276,7.322241306304932,8.388920783996582,0.9279999732971193,2.970000028610229,f,1.0,278.0,0.4040000140666961,0.0179999992251396,8.655017894388672e+16,19.85849952697754,19.65379905700684,19.34499931335449,19.500600814819336,9.0
ZTF22aawfkig,39,941,59783.4223842998,60504.45908559999,True,False,9,-0.3789,0.1309923,-0.1532202,0.1689925,59783.4223842998,60504.45908559999,721.0367013001814,8.357114699995819,-19.62130169999922,0.0690070526542187,0.064999996515114,AGN,stamp_classifier,0.8859911,24.5.2a6,AGN,2.03145760081501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF22aawfkig,,1.0,g,20.47688865661621,0.1912216693162918,1.0,0.8315479755401611,0.1072319969534874,0.1204992830753326,3.88829517364502,19.337156295776367,0.5889999866485596,1.5099408626556396,f,2.0,595.0,0.5289999842643738,0.0199999995529651,8.445008357038483e+16,18.67140007019043,18.526199340820312,18.533100128173828,18.591100692749023,6.0
ZTF21acjrxot,36,1179,59048.41979169985,60904.41861109994,True,True,7,,,,,59488.31540510012,60904.41861109994,1416.1032059998251,15.341246536746846,-18.34700966458309,0.0308614943902702,0.0292927283562577,AGN,stamp_classifier,0.8856775,27.5.6,AGN,1.76429555271501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF21acjrxot,,2.0,r,20.875825881958008,0.2116851061582565,0.9763749837875366,0.9954169988632202,0.606249988079071,0.2525814473628998,16.594167709350586,24.192569732666016,0.7739999890327454,1.2169641256332395,f,26.0,531.0,0.2759999930858612,-0.0120000001043081,8.5980153412424e+16,20.374500274658203,20.09000015258789,20.111099243164062,19.94440078735352,3.0
ZTF24abkxvim,53,1521,59784.46086810017,60918.33253470017,True,False,32,,,,,60585.33248839993,60918.33253470017,333.00004630023614,355.2256435079498,-8.541741466838202,0.0125494473468942,0.0124102475958435,AGN,stamp_classifier,0.8855667,27.5.6,AGN,2.83230771451501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF24abkxvim,,1.0,g,21.02126121520996,0.18772953748703,0.9750829935073853,0.975957989692688,0.0024999999441206,0.1358380913734436,23.292695999145508,23.93442344665528,0.949999988079071,1.3649519681930542,f,11.0,1282.0,0.4699999988079071,0.0219999998807907,9.775355225674038e+16,19.39109992980957,19.000200271606445,19.12240028381348,18.90080070495605,5.0
ZTF25abluafq,12,1836,59462.4144791998,60912.441736099776,True,False,1,,,,,60912.441736099776,60912.441736099776,0.0,16.5423986,20.3677549,0.0906687900424003,0.0850000008940696,AGN,stamp_classifier,0.8847351,27.5.6,AGN,3.15844173371501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF25abluafq,,2.0,r,20.84490203857422,0.2130132764577865,0.9858329892158508,0.9564579725265504,0.201106995344162,0.2429725229740142,2.912510395050049,26.77088928222656,0.8140000104904175,1.0452722311019895,f,12.0,1836.0,0.3370000123977661,-0.0350000001490116,1.324401654242618e+17,20.24139976501465,19.98139953613281,20.019800186157227,20.00670051574707,5.0
ZTF20abwncxu,135,2015,58703.42365740007,61055.10721059982,True,True,50,,,,,59060.440069399774,61055.10721059982,1994.6671412000435,14.892368975454673,3.217404099031812,0.0100323362714954,0.0100165226723209,AGN,stamp_classifier,0.884123,27.5.7a32.dev1,AGN,1.33236787181501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abwncxu,,2.0,r,20.83004379272461,0.2157245278358459,0.9900000095367432,1.0,-999.0,0.2890644073486328,18.382055282592773,-999.0,0.7099999785423279,2.3499999046325684,f,7.0,466.0,0.9710000157356262,0.0790000036358833,1.118601489229013e+17,20.15340042114257,20.029300689697266,19.963600158691406,19.975799560546875,2.0
ZTF20abrntiw,25,1371,58760.3519444,60585.25603009993,True,True,5,,,,,59055.41837960016,60585.25603009993,1529.8376504997725,4.823435699999792,-6.574513999997922,0.0855626749360168,0.0849999996633594,AGN,stamp_classifier,0.88370997,24.5.2a6,AGN,1.326397045615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abrntiw,,1.0,g,20.461898803710938,0.2116507291793823,0.9990000128746032,1.0,0.0018749999580904,0.341781347990036,15.746145248413086,19.744722366333008,0.6010000109672546,1.25,t,5.0,320.0,0.8529999852180481,-0.0489999987185001,1.0011004823444098e+17,20.54910087585449,20.33449935913086,19.83270072937012,19.846599578857425,5.0
ZTF23abcuizf,11,1391,60200.33050929988,60586.23126159981,True,False,4,,,,,60585.30256940005,60586.23126159981,0.92869219975546,2.5541770272764213,-8.537879351962276,0.0522118734037758,0.0516332580109335,AGN,stamp_classifier,0.88356745,24.5.2a6,AGN,2.83130256441501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF23abcuizf,,2.0,r,21.235599517822266,0.2056777775287628,0.9975000023841858,0.9908329844474792,0.0018749999580904,0.272085040807724,21.066829681396484,23.247785568237305,0.9679999947547911,1.299775242805481,f,8.0,1378.0,0.221000000834465,-0.0040000001899898,9.775002554232494e+16,19.833799362182617,19.62470054626465,19.46260070800781,19.35860061645508,6.0
ZTF20abolejm,280,1587,58703.46015049983,60885.41644679988,True,False,154,,,,,59045.36123839999,60885.41644679988,1840.055208399892,354.48509436147265,-2.991861886905684,0.0056743265163162,0.0056665920120918,AGN,stamp_classifier,0.8831937,27.5.6,AGN,1.30646211241501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abolejm,,1.0,g,20.63079643249512,0.2042957544326782,0.5817499756813049,0.0107500003650784,0.5,0.2987731695175171,11.581542015075684,11.750657081604004,0.7049999833106995,1.2603040933609009,f,8.0,254.0,0.2440000027418136,0.0070000002160668,1.044135448510202e+17,18.78890037536621,18.72719955444336,18.60980033874512,18.580699920654297,7.0
